书名,原书名,作者,翻译,出版社,丛书,出版日期,ISBN,页数,定价,标签,阅读状态,豆瓣评分,豆瓣评论人数,豆瓣地址
流行体系,,罗兰·巴特 , 敖军 , 上海人民出版社,罗兰·巴特文选, 2011-6-1,9787208099715,286, 28.00元,,想读,7.8,80,https://book.douban.com/subject/6520425/
伪装成独白的爱情,,[匈] 马洛伊·山多尔 , 郭晓晶 , 译林出版社,马洛伊·山多尔作品, 2015-10,9787544756815,556,48,,想读,8.6,2213,https://book.douban.com/subject/26577690/
高级C/C++编译技术, Advanced C and C++ Compiling,Milan Stevanovic , 卢誉声 , 机械工业出版社,C/C++技术丛书, 2015-4,9787111496182,266,69,,想读,7.4,20,https://book.douban.com/subject/26414485/
虫子书,,朱赢椿 ,, 广西师范大学出版社,, 2015-10-12,9787549572090,312,78,,想读,6,397,https://book.douban.com/subject/26611725/
大学之修养: 张信刚人文通识三十六讲,,张信刚 ,, 广西师范大学出版社,, 2015-10,9787549570928,440,49,,想读,6.3,34,https://book.douban.com/subject/26641042/
罪与罚, ПРЕСТУПЛЕНИЕ И НАКАЗАНИЕ,陀思妥耶夫斯基 , 岳麟 , 上海译文出版社,陀思妥耶夫斯基文集, 2015-1-1,9787532763702,617, CNY 58.00,,想读,9.4,1739,https://book.douban.com/subject/25887912/
反脆弱: 从不确定性中获益, Antifragile: Things That Gain from Disorder,[美]纳西姆•尼古拉斯•塔勒布 , 雨珂 , 中信出版社,“不确定性”系列丛书, 2014-1-1,9787508643335,408, 68.00元,,想读,8.1,5920,https://book.douban.com/subject/25782902/
反脆弱, Antifragile: Things That Gain from Disorder,納西姆．尼可拉斯．塔雷伯 Nassim Nicholas Taleb , 羅耀宗 , 大塊文化,, 2013-6-28,9789862134467,676, NT$500,,想读,8.6,279,https://book.douban.com/subject/24838618/
忽然七日, Before I Fall,[美] 劳伦·奥利弗 , 孙璐 , 湖南文艺出版社,博集·外国文学馆, 2015-7,9787540446857,400, 38.00元,,想读,7.3,7424,https://book.douban.com/subject/5391766/
女人的起源, The Descent of Woman,[英]伊莲·摩根 , 刘筠 , 上海译文出版社,, 2007-8,9787532743407,263, 19.00元,,想读,7.6,460,https://book.douban.com/subject/2222424/
做了这本书, Wreck This Journal,[美]凯莉·史密斯（Keri Smith） , 吴琪仁 , 湖北科学技术出版社,, 2015-1,9787535271082,224, 32.00元,,想读,6.4,736,https://book.douban.com/subject/26279776/
艺术与文化,,【美】克莱门特·格林伯格 , 沈语冰 , 广西师范大学出版社,, 2015-9,9787549564118,448,49,,想读,8.4,190,https://book.douban.com/subject/26606499/
尽头,,唐诺 ,, 广西师范大学出版社,理想国·唐诺作品, 2013-11,9787549507047,708,88,,想读,8.9,1001,https://book.douban.com/subject/25762598/
战争时期日本精神史, 戦時期日本の精神史,[日] 鹤见俊辅 , 邱振瑞 , 四川教育出版社,东亚人文100丛书, 2013-4,9787540861681,213, 22.00元,,想读,7.8,132,https://book.douban.com/subject/24550625/
古书题跋丛刊（共34册）,,韋力主編 ,, 學苑出版社,,,9787507733860,, 19800.00元,,想读, ,,https://book.douban.com/subject/4035415/
我们台湾这些年2: 讲述30年来台湾现代化进程中的大事件和小八卦,,廖信忠 ,, 江苏人民出版社,我们台湾这些年, 2014-11-15,9787214140623,292,32,,想读,7.3,1969,https://book.douban.com/subject/26215044/
灯下尘,,七堇年 ,, 九州出版社,, 2015-8,9787510838101,288, 32.00元,,想读,6.6,1807,https://book.douban.com/subject/26437752/
奇特的一生: 柳比歇夫坚持56年的“时间统计法”,,[俄] 格拉宁 , 侯焕闳、唐其慈 , 北京联合出版公司,, 2013-10,9787550215078,210, 32.00元,,想读,7.7,2482,https://book.douban.com/subject/24739109/
战争: 从类人猿到机器人，文明的冲突和演变, War! What Is It Good For?,[美]伊恩·莫里斯 , 栾力夫 , 中信出版社,历史的镜像, 2015-6,9787508652009,380, 69.00元,,想读,7.6,158,https://book.douban.com/subject/26420422/
载书飘流记,,屈万里 著、屈焕新 编注 ,, 中西书局,, 2015-8,9787547508718,, 25.00 元,,想读,7.2,15,https://book.douban.com/subject/26586395/
The Lesser Key of Solomon: 所罗门王的小钥匙,,Peterson. Joseph H. (EDT) ,, Weiser Books,, 2001-7-17,9781578632206,320, USD 50.00,,想读,8.9,28,https://book.douban.com/subject/2277985/
猎书客,,[英]约翰·希尔·巴顿 , 杨理亚、张同林 , 上海社会科学院出版社,, 2015-3,9787552007602,408, 59.80元,,想读,7.6,15,https://book.douban.com/subject/26302253/
剑桥中国文学史（上卷）,,[美] 宇文所安 , 刘倩 等 , 生活·读书·新知三联书店,剑桥中国文学史, 2013-6,9787108044686,742,75,,想读,7.8,392,https://book.douban.com/subject/24839155/
上帝与黄金: 英国、美国与现代世界的形成, God and Gold: Britain. America. and the Making of the Modern World,沃尔特•拉塞尔•米德 (Walter Russell Mead) , 涂怡超、罗怡清 , 社会科学文献出版社·甲骨文,甲骨文丛书, 2014-12,9787509760147,576, 75.00元,,想读,7.9,238,https://book.douban.com/subject/26260335/
转型与冲击：马丁·沃尔夫谈未来全球经济: 马丁·沃尔夫谈未来全球经济, The Shifts and the Shocks: What We’ve Learned—and Have Still to Learn—from the Financial Crisis,马丁·沃尔夫 ,, 中信出版社,, 2015-5-1,9787508650746,438, CNY 58.00,,想读,8.1,34,https://book.douban.com/subject/26414116/
单词的历史: 英语词源漫谈, Midwives. marathons and mumbo jumbo: a dictionary of word and phrase origins,马丁·H·曼瑟 , 崔峰 , 上海译文出版社,译文学习, 2015-5,9787532769292,240,32,,想读,7,150,https://book.douban.com/subject/26327547/
博物馆的秘密: 隐世藏品背后的故事,,[英]莫莉·奥德菲尔德（Molly Oldfield） , 李子 , 人民邮电出版社,, 2015-3,9787115376237,339, 78.00元,,想读,7.9,68,https://book.douban.com/subject/26341609/
修道院纪事, Memorial do Convento,[葡] 若泽·萨拉马戈 , 范维信 , 花山文艺出版社,葡语作家丛书,1996,9787806114148,374, 10.00元,,想读,8.5,222,https://book.douban.com/subject/1070614/
就是要整理 : 艺术, Noch mehr Kunst aufräumen,[瑞士]乌尔苏斯·威尔利（Ursus Wehrli）、田霏宇 作序推荐 , 南曦 , 北京联合出版公司·后浪出版公司,, 2015-5,9787550248137,40, 42.00元,,想读,7.4,216,https://book.douban.com/subject/26354262/
民主的阴暗面: 解释种族清洗, The Dark Side of Democracy,,, 三辉图书/中央编译出版社,, 2015-5,9787511721051,800, 98.00元,,想读,7.9,141,https://book.douban.com/subject/25863979/
作为自我的稻米: 日本人穿越时间的身份认同, Rice as Self ：Japanese Identities through Time,(美) 大贯惠美子 , 石峰 , 浙江大学出版社,, 2015-4,9787308143684,210,43,,想读,7.4,82,https://book.douban.com/subject/26315314/
一个普通法的故事: 英格兰政体的奥秘,,泮伟江 ,, 广西师范大学出版社,新民说, 2015-4,9787549563180,232,28,,想读,7.9,64,https://book.douban.com/subject/26340953/
如何阅读一本小说, How to Read Novels Like a Professor,[美] 托马斯·福斯特 , 梁笑 , 南海出版公司,新经典文库：托马斯·福斯特作品, 2015-4,9787544276528,312,39.5, 托马斯·福斯特 文学研究 小说的艺术,想读,7.9,2090,https://book.douban.com/subject/26305561/
有天清晨, Quite Early One Morning,[英] 狄兰·托马斯（Dylan Thomas） , 张明林 , 漓江出版社,拾珍铺子, 2015-4,9787540774851,218, 28.00元,,想读,8.2,93,https://book.douban.com/subject/26323774/
莎士比亚, Shakespeare,[英]安东尼·伯吉斯 , 刘国云 , 广西师范大学出版社·理想国,安东尼·伯吉斯作品, 2015-6,9787549563555,412, 49.00元,,想读,8.5,406,https://book.douban.com/subject/26310659/
僧侣与哲学家, Le Moine et le Philosophe,让-弗朗索瓦•何维勒、马修•理查德 , 赖声川 , 华东师范大学出版社,, 2014-9-1,9787567524989,344, CNY 39.00,,想读,8.7,1725,https://book.douban.com/subject/25978763/
博尔赫斯谈话录, Borges at Eighty: Conversations,[阿] 豪尔赫·路易斯·博尔赫斯 著、[美] 威利斯·巴恩斯通 编 , 西川 , 广西师范大学出版社,, 2014-11,9787549557806,382, 49.00元,,想读,8.8,3033,https://book.douban.com/subject/25952961/
苦妓回忆录, Memoria de mis putas tristes,加西亚·马尔克斯 , 轩乐 , 南海出版公司,新经典文库:加西亚·马尔克斯作品, 2015-3-1,9787544275590,114, 25.00元,,想读,7.8,8736,https://book.douban.com/subject/26276279/
论美国的民主, De la démocratie en Amérique,[法] 托克维尔 , 董果良 , 商务印书馆,商务·权威全译本, 2013-2,9787100096782,1063, 149.00元,,想读,9.6,111,https://book.douban.com/subject/21967237/
交流与对抗: 近代中日关系史论,,桑兵 ,, 广西师范大学出版社,理想国·桑兵作品, 2015-5-1,9787549564095,410, CNY 58.00,,想读,7.2,55,https://book.douban.com/subject/26327549/
现代操作系统（第3版）, Modern Operating Systems,Andrew S. Tanenbaum , 陈向群、马洪兵 , 机械工业出版社,计算机科学丛书, 2009-7,9787111255444,582, 75.00元,,想读,8.9,711,https://book.douban.com/subject/3852290/
法官能为法治做什么: 美国著名法官讲演录,,[美]戴维·奥布莱恩（David M. O’Brien）编、小奥利弗·温德尔·霍姆斯、本杰明·N.卡多佐、威廉·H.伦奎斯特、理查德·A.波斯纳 , 何帆、姜强、刘媛、黄琳娜、林娜 , 北京大学出版社,, 2015-4-20,9787301251027,,59,,想读,8.2,61,https://book.douban.com/subject/26348869/
闲话 1: 玫瑰与蝴蝶,,臧杰、薛原 ,, 青岛出版社,, 2008-1,9787543643765,207, 22.00元,,想读,6.8,34,https://book.douban.com/subject/2983593/
清明上河图密码: 隐藏在千古名画中的阴谋与杀局,,冶文彪 ,, 北京联合出版公司,清明上河图密码, 2015-1-1,9787550232815,548, 49.90元,,想读,8.2,11376,https://book.douban.com/subject/26265745/
1453: 君士坦丁堡之战, 1453: The Holy War for Constantinople and the Clash of Islam and the West,[英] 罗杰·克劳利 , 陆大鹏 , 社会科学文献出版社·甲骨文,地中海史诗三部曲, 2014-6,9787509745120,392, 49.00元,,想读,9,4521,https://book.douban.com/subject/25891318/
宇宙奇趣全集, Tutte le cosmicomiche,伊塔洛·卡尔维诺 , 张密、杜颖、翟恒 , 译林出版社,卡尔维诺作品集, 2011-4,9787544716086,379, 28.00元,,想读,8.8,3362,https://book.douban.com/subject/5446490/
判断力批判, Kritik der Urtheilskraft,[德] 康德 , 邓晓芒 译、杨祖陶 校 , 人民出版社,康德三大批判, 2002-12,9787010036335,409, 32.00元,,想读,9.1,1046,https://book.douban.com/subject/1137244/
塞拉菲尼抄本, Codex Seraphinianus,[意] 鹿易吉·塞拉菲尼 , 张密 , 北京联合出版公司,, 2014-11,9787550226319,396, 799.00元,,想读,8.7,1137,https://book.douban.com/subject/25934300/
希腊神话,,[法]伊万·波墨 , 武娟 , 广西师范大学出版社,, 2015-2,9787549562640,320,198,,想读,8.6,184,https://book.douban.com/subject/26314736/
政治秩序的起源: 从前人类时代到法国大革命, The Origins of Political Order: From Prehuman Times to the French Revolution,[美]弗朗西斯·福山 , 毛俊杰 , 广西师范大学出版社,理想国译丛, 2014-9,9787549555116,572,88, 政治学,想读,8.6,810,https://book.douban.com/subject/25971624/
罗马帝国衰亡史（套装共6册）,,[英] 爱德华·吉本 , 席代岳 , 吉林出版集团有限责任公司,罗马帝国衰亡史, 2011-5,9787546351445,2654, 268.00元,,想读,9.1,636,https://book.douban.com/subject/6428078/
沉思录, Meditations,[古罗马] 马可·奥勒留 , 何怀宏 , 中央编译出版社,, 2008-2,9787802115743,211,20,,想读,8.2,17058,https://book.douban.com/subject/2359003/
非普通读者, The Uncommon Reader,[英] 艾伦·贝内特 , 何宁 , 广西师范大学出版社·理想国,理想国·书之书, 2015-5,9787549564484,240, 36.00元,,想读,8,545,https://book.douban.com/subject/26349517/
人类的天性: 基因、文化与人类前景, Human Natures,保罗•R•埃力克 , 李向慈、洪佼宜 , 金城出版社,标点学术文化书坊, 2014-10-1,9787515511016,504, CNY 78.00,,想读,7.8,38,https://book.douban.com/subject/26254770/
记忆的风景: 我们为什么想起，又为什么遗忘？, Why Life Speeds Up As You Get Older,[荷]杜威·德拉埃斯马 , 张朝霞 , 北京联合出版公司·后浪出版公司,, 2014-7,9787550229716,320, 42.00元,,想读,7.7,265,https://book.douban.com/subject/25885205/
耶路撒冷三千年, Jerusalem: The Biography,[英]西蒙•蒙蒂菲奥里 , 张倩红、马丹静 , 民主与建设出版社,西蒙·蒙蒂菲奥里作品, 2015-1,9787513903509,708,78,,想读,7.5,6572,https://book.douban.com/subject/25886351/
躁动的帝国: 不为人知的美国历史（上）, The untold history of the United States,奥利弗•斯通、彼得•库茨尼克 , 潘丽君、张 波、王祖宁 , 重庆出版社,, 2014-2,9787229073732,381, 52.00元,,想读,7.9,79,https://book.douban.com/subject/25807649/
天空的另一半: 普利策新闻奖得主讲述女性的绝望与希望, HALF THE SKY,[美] 尼可拉斯·D.克里斯多夫、[美]雪莉·邓恩 , 吴茵茵 , 浙江人民出版社,铁葫芦·新文化馆, 2014-5,9787213059384,288, 39.80元,,想读,8.8,5930,https://book.douban.com/subject/25845647/
耶鲁大学公开课:死亡, Death Open Yale Courses,[美]谢利·卡根 , 贝小戎 , 北京联合出版公司,耶鲁大学公开课, 2014-5-10,9787550227392,360, 48.00元,,想读,7.9,732,https://book.douban.com/subject/25859542/
书籍的秩序: 14至18世纪的书写文化与社会, L&#39;ordre des livres: Lecteurs. auteurs. bibliotheques en Europe entre XIVe et XVIIIe siecle,[法] 罗杰·夏蒂埃 , 吴泓缈、张璐 , 商务印书馆,书史译丛, 2013-7,9787100097543,215,35,,想读,8.7,112,https://book.douban.com/subject/24863494/
图书馆的故事: 图书馆的故事, Library: an Unquiet History,[英] 马修·巴特尔斯 , 赵雪倩 , 商务印书馆,书史译丛, 2013-6,9787100097291,240,32,,想读,7.2,55,https://book.douban.com/subject/24856955/
哲学的快乐: 干瘪的思考vs.激情的生活, The Joy of Philosophy,[美] 罗伯特·C.所罗门 , 陈高华 , 广西师范大学出版社,理想国 人文精选, 2015-4,9787549552627,332, 42.00元,,想读,7.9,173,https://book.douban.com/subject/26371104/
光荣与梦想（套装共4册）: 1932-1972年美国叙事史, The Glory and the Dream: A Narrative History of America 1932-72,[美]威廉·曼彻斯特（William Manchester） , 四川外国语大学翻译学院翻译组 , 中信出版社,, 2015-3,9787508649993,1880, 236.00元,,想读,8.7,3188,https://book.douban.com/subject/26314954/
构建之法: 现代软件工程,,邹欣 ,, 人民邮电出版社,, 2014-9,9787115369161,396, 49.00元, 软件工程 IT 项目管理,想读,8.6,472,https://book.douban.com/subject/25965995/
古典风格: 海顿、莫扎特、贝多芬, The Classical Style,查尔斯·罗森 , 杨燕迪 , 华东师范大学出版社,, 2014-8,9787567523326,620,138,,想读,8.9,155,https://book.douban.com/subject/25928734/
历史的教训, The Lessons of History,[ 美] 威尔·杜兰特、阿里尔·杜兰特 , 倪玉平、张闶 , 四川人民出版社,, 2015-1,9787220093104,208, 28.00元,,想读,8.3,2959,https://book.douban.com/subject/26279878/
天国之秋, Autumn in the Heavenly Kingdom: China. the West. and the Epic Story of the Taiping Civil War,[美] 裴士锋 (Stephen R.Platt) , 黄中宪、谭伯牛（校） , 社会科学文献出版社,甲骨文丛书, 2014-11-10,9787509752647,580, 69.00元,,想读,8.6,3721,https://book.douban.com/subject/25938605/
理智向左 疯狂向右: 连环杀手的怪诞行为学, SERIAL KILLERS,[加]彼得·佛伦斯基 , 宁晨、于曦 , 江苏文艺出版社,, 2014-10-30,9787539977027,304, 38.00元,,想读,7.5,710,https://book.douban.com/subject/26042854/
唯有孤独恒常如新: 伊丽莎白·毕肖普诗选,,[美] 伊丽莎白·毕肖普 , 包慧怡 , 湖南文艺出版社,, 2015-3,9787540470265,312,39,,想读,8.1,1990,https://book.douban.com/subject/26269845/
大争论: 左派和右派的起源, The Great Debate: Edmund Burke. Thomas Paine. and the Birth of Right and Left,[美]尤瓦尔·莱文 , 王小娥、谢昉 , 中信出版社,托克维尔译丛, 2014-8,9787508646794,304,42,,想读,7.9,166,https://book.douban.com/subject/25963607/
深入理解计算机系统（原书第2版）, Computer Systems: A Programmer&#39;s Perspective,（美）Randal E.Bryant、David O&#39;Hallaron , 龚奕利、雷迎春 , 机械工业出版社,计算机科学丛书, 2011-1-1,9787111321330,702, 99.00元,,想读,9.7,2355,https://book.douban.com/subject/5333562/
编码: 隐匿在计算机软硬件背后的语言, Code: The Hidden Language of Computer Hardware and Software,[美] Charles Petzold , 左飞、薛佟佟 , 电子工业出版社,,2010,9787121106101,392, 55.00元,,想读,9.2,2775,https://book.douban.com/subject/4822685/
Java核心技术·卷1：基础知识（原书第9版）, Cay S. Horstmann.Gary Cornell,（美）Cay S. Horstmann、（美）Gary Cornell , 周立新、陈波、叶乃文、邝劲筠、杜永萍 , 机械工业出版社,Java核心技术系列, 2013-11-1,9787111445142,720,119,,想读,8.3,499,https://book.douban.com/subject/25762168/
程序设计方法（中文版）: 国外著名高等院校信息科学与技术优秀教材, How to Design Programs,Matthias Fellisen , 黄林鹏、朱崇恺 , 人民邮电出版社,国外著名高等院校信息科学与技术优秀教材, 2003-12,9787115115560,460, 49.00元,,想读,8.7,81,https://book.douban.com/subject/1140942/
人件（原书第3版）, Peopleware: Productive Projects and Teams,[美] Tom DeMarco、[美] Timothy Lister , 肖然、张逸、滕云 , 机械工业出版社,, 2014-8,9787111474364,288, 69.00元,,想读,8.5,311,https://book.douban.com/subject/25956450/
奇思妙想: 15位计算机天才及其重大发现, Out of their Minds: The Lives and Discoveries of 15 Great Computer Scientists,Dennis E. Shasha、Cathy A. Lazere , 向怡宁 , 人民邮电出版社,, 2012-3,9787115268815,196, 32.00元,,想读,8.1,317,https://book.douban.com/subject/10432364/
计算机程序设计艺术（第2卷）: 半数值算法,,Donald E. Knuth , 苏运霖 , 国防工业出版社,计算机程序设计艺术（中文版）, 2002-8,9787118027075,760, 98.00元,,想读,9.8,71,https://book.douban.com/subject/1231891/
离散数学, Discrete Mathematics (5th Edition),多西 , 章炯民、王新伟、曹立 , 机械工业,计算机科学丛书, 2007-6,9787111212638,477, 55.00元,,想读,8.6,35,https://book.douban.com/subject/2162225/
深入理解计算机系统, Computer Systems: A Programmer&#39;s Perspective,Randal E.Bryant、David O&#39;Hallaron , 龚奕利、雷迎春 , 中国电力出版社,, 2004-5-1,9787508321752,873, 85.00元,,想读,9.5,2676,https://book.douban.com/subject/1230413/
程序设计实践,,[美] BRIAN W.KERNIG , 裘宗燕 , 机械工业出版社,, 2007-1,9787111211273,470, 59.00元,,想读,9.2,73,https://book.douban.com/subject/2111800/
代码阅读方法与实践, Code Reading: The Open Source Perspective,斯平内利斯 , 赵学良 , 清华大学出版社,, 2004-03-01,9787302080725,326, 45.00元,,想读,7,230,https://book.douban.com/subject/1151672/
现代编译原理: C语言描述, Modern Compiler Implementation in C,(美)安佩尔 , 赵克佳、黄春、沈志宇 , 人民邮电出版社,图灵计算机科学丛书, 2006-4,9787115145529,385, 45.00元,,想读,8.5,130,https://book.douban.com/subject/1806974/
C++程序设计原理与实践, Programming: Principles and Practice Using C++,（美）Bjarne Stroustrup , 王刚 等 , 机械工业出版社,计算机科学丛书,2010.7,9787111303220,668, 108.00元,,想读,8.9,170,https://book.douban.com/subject/4875599/
程序设计语言: 实践之路 （第二版）, Programming Language Pragmatics,斯科特 , 裘宗燕 , 电子工业出版社,, 2007-6,9787121042980,899, 99.00元,,想读,9,114,https://book.douban.com/subject/2152385/
读库1501,,张立宪 ,, 新星出版社,读库, 2015-1-6,9787513317382,317,30,,想读,8,390,https://book.douban.com/subject/26321199/
我们能做什么: 胡适与中国青年最真诚的分享,,胡适 ,, 九州出版社,胡适文学系列, 2014-8-1,9787510830235,216,36,,想读,8.4,441,https://book.douban.com/subject/25911858/
西方政治思想史（上下册）, A History of Western Political Thought,(英) 约翰·麦克里兰 , 彭淮栋 , 中信出版社,“中信史学大师畅销经典”系列, 2014-8,9787508646114,848,118,,想读,8.8,279,https://book.douban.com/subject/25950191/
中国古代物质文化,,孙机 ,, 中华书局,, 2014-7,9787101099812,423, 98.00元,,想读,8.9,1075,https://book.douban.com/subject/25961497/
《战后欧洲史》套装（全四卷）, Postwar:A History of Europe Since 1945,,, 三辉图书/中信出版社,托尼·朱特作品, 2014-9,9787508646916,1312, 168.00元,,想读,8.5,465,https://book.douban.com/subject/25924103/
耶鲁大学公开课 : 政治哲学, Political Philosophy,[美]史蒂芬·B·斯密什(Steven B. Smith) , 贺晴川 , 北京联合出版公司·后浪出版公司,耶鲁大学公开课, 2015-1,9787550238954,312, 39.80元,,想读,8.8,566,https://book.douban.com/subject/26278816/
文雅的疯狂: 藏书家、书痴以及对书的永恒之爱, A Gentle Madness : Bibliophiles. Bibliomanes. and the Eternal Passion for Books,[美] 尼古拉斯·A.巴斯贝恩 , 陈焱 , 上海人民出版社,文雅的疯狂丛书, 2014-9,9787208124868,588,69,,想读,8.3,303,https://book.douban.com/subject/25942069/
1453：君士坦丁堡的陷落, The Fall of Constantinople 1453,［英］斯蒂文•朗西曼（Steven Runciman） , 马千 , 北京时代华文书局,, 2014-8,9787807696834,282,58,,想读,8.7,1322,https://book.douban.com/subject/25899496/
夜, La Nuit,[美] 埃利·威塞尔 , 袁筱一 , 南海出版公司,, 2014-8,9787544271769,174, 32.00元,,想读,8.6,858,https://book.douban.com/subject/25900687/
诗人的迟缓,,范晔 ,, 上海三联书店,, 2014-7,9787542644916,210, 28.00元,,想读,8.6,508,https://book.douban.com/subject/25908110/
精神分析引论,,(奥)弗洛伊德 ,, 北京出版社,经典通读, 2007-10,9787200069785,159, 21.80元,,想读,8.2,641,https://book.douban.com/subject/2306862/
精神分析引论,,弗洛伊德 ,, 商务印书馆有限公司,汉译世界学术名著丛书（精装）, 1997-2,9787100022910,377, 19.20元,,想读,8.3,360,https://book.douban.com/subject/1160319/
我们时代的神经症人格, The Neurotic Personality Of Our Time,[美] 卡伦·霍妮 , 郭本禹、方红 , 中国人民大学出版社,西方心理学大师经典译丛, 2013-9,9787300177748,211, 45.00元,,想读,8.8,220,https://book.douban.com/subject/25768155/
然而, Sarinagara,(法) 菲利普·福雷斯特 , 黄荭 , 上海文艺出版社,当代法语获奖小说, 2014-7-1,9787532152902,257,29,,想读,8.1,221,https://book.douban.com/subject/25890136/
他方世界, Little. Big,[美]约翰·克劳利 , 魏靖仪 , 译林出版社,, 2014-5-20,9787544712378,580, 68.00元,,想读,8.4,363,https://book.douban.com/subject/25805143/
文明之光 （第三册）,,吴军 ,, 人民邮电出版社,文明之光, 2015-1-1,9787115377098,344,59,,想读,8.9,2041,https://book.douban.com/subject/26275177/
启蒙时代（上）: 现代异教精神的兴起,,,, 世纪文景/上海人民出版社,启蒙时代, 2015-1-1,9787208125766,543, 79.00元,,想读,8.4,176,https://book.douban.com/subject/26104025/
单身社会, Going solo：the extraordinary rise and surprising appeal of living alone,(美) 克里南伯格 , 沈开喜 , 上海文艺出版社,, 2015-2,9787532155224,, 32.00元,,想读,7.5,1808,https://book.douban.com/subject/26235729/
善恶之源, Just Babies: The Origins of Good and Evil,[美] 保罗•布卢姆 , 青涂 , 浙江人民出版社,, 2015-3-1,9787213064388,215,49.9,,想读,7.8,292,https://book.douban.com/subject/26299530/
狂热分子: 群众运动圣经, True Believer : Thoughts on the Nature of Mass Movements,[美] 埃里克·霍弗 , 梁永安 , 广西师范大学出版社,理想国 人文精选, 2011-6,9787563374625,207, 34.00元,,想读,9,8340,https://book.douban.com/subject/3057556/
Linux/Unix设计思想, Linux and the Unix Philosophy,甘卡兹 , 漆犇 , 人民邮电出版社,, 2012-3-28,9787115266927,168, 39.00元,,想读,7.8,567,https://book.douban.com/subject/7564417/
鸟哥的Linux私房菜: 基础学习篇,,鸟哥 ,, 人民邮电出版社,鸟哥的Linux私房菜, 2010-6-28,9787115226266,778, 88.00元,,想读,9.1,2794,https://book.douban.com/subject/4889838/
设计模式沉思录, Pattern Hatching: Design Patterns Applied,John M.Vlissides , 葛子昂 , 人民邮电出版社,图灵程序设计丛书·程序员修炼系列,201005,9787115224637,152, 35.00元,,想读,8.5,74,https://book.douban.com/subject/4816447/
设计模式之禅,,秦小波 ,, 机械工业出版社,华章原创精品, 2010年3月,9787111295440,545, 69.00元,,想读,7.5,365,https://book.douban.com/subject/4260618/
人月神话: 32周年中文纪念版,,弗雷德里克.布鲁克斯 , UMLChina翻译组、汪颖 , 清华大学出版社,, 2007-9,9787302155676,315, 48.00元,,想读,8.6,1305,https://book.douban.com/subject/2230248/
Windows程序调试,,[美] Everett N. Mck ,, 中国电力出版社,, 2002-1,9787508309422,424, 49.00元,,想读,7.5,16,https://book.douban.com/subject/1098181/
计算机组成与设计硬件/软件接口, Computer Organization and Design: The Hardware/Software Interface,[美] David A.Patterson、John L.Hennessy , 郑纬民 , 机械工业出版社,计算机科学丛书, 2007-4,9787111202141,593, 75.00元,,想读,9.4,275,https://book.douban.com/subject/2110638/
软件开发者路线图: 从学徒到高手, Apprenticeship Patterns: Guidance for the Aspiring Software Craftsman,Dave H. Hoover、Adewale Oshineye , 王江平 , 机械工业出版社,, 2010年9月,9787111310068,185, 35.00元,,想读,8.4,437,https://book.douban.com/subject/4924164/
C++编程规范: 101条规则、准则与最佳实践,,[美]Herb Sutter、[美]Andrei Alexandrescu , 刘基诚 , 人民邮电出版社,图灵程序设计丛书, 2006-1,9787115142054,216, 35.00元,,想读,8.2,352,https://book.douban.com/subject/1480481/
图解HTTP,,【日】上野宣 , 于均良 , 人民邮电出版社,图解入门系列, 2014-4-15,9787115351531,308, 49.00元,,想读,8.1,2056,https://book.douban.com/subject/25863515/
程序设计语言: 实践之路 （第三版）, Programming Language Pragmatics. Third Edition,Michael L. Scott , 韩江、陈玉 , 电子工业出版社,, 2012-7,9787121170676,847, 128.00元,,想读,7.8,33,https://book.douban.com/subject/10802357/
编程语言实现模式, Language Implementation Patterns: Create Your Own Domain-Specific and General Programming Languages,Terence Parr , 李袁奎、尧飘海 , 华中科技大学出版社,, 2012-3-20,9787560977003,388, 72.00元,,想读,8.3,213,https://book.douban.com/subject/10482195/
计算机程序的构造和解释(原书第2版): 原书第2版, Structure and Interpretation of Computer Programs,Harold Abelson、Gerald Jay Sussman、Julie Sussman , 裘宗燕 , 机械工业出版社,计算机科学丛书, 2004-2,9787111135104,473, 45.00元,,想读,9.5,2201,https://book.douban.com/subject/1148282/
调试九法: 软硬件错误的排查之道, Debugging: The 9 Indispensable Rules for Finding Even the Most Elusive Software and Hardware Problems,David J.Agans , 赵俐 , 人民邮电出版社,, 2010-12-7,9787115240576,142, 35.00元,,想读,9.1,155,https://book.douban.com/subject/5376270/
袭击面包店, パン屋を襲う,村上春树 , 施小炜 , 南海出版公司,新经典文库·村上春树作品, 2015-1-1,9787544275231,67, 29.50元,,想读,7.4,5548,https://book.douban.com/subject/26264956/
LUA程序设计(第2版),,[巴西] 莱鲁 , 周惟迪 , 电子工业出版社,, 2008-1,9787121061875,281, 39.00元,,想读,8.5,409,https://book.douban.com/subject/3076942/
计算机程序设计艺术（第1卷）: 基本算法,,[美] 唐纳德·E. 克努特 , 苏运霖 , 国防工业出版社,计算机程序设计艺术（中文版）, 2002-9,9787118027990,626, 98.00元,,想读,9.5,170,https://book.douban.com/subject/1231933/
Erlang 程序设计, Programming Erlang: Software for a Concurrent World,Armstrong , 赵东炜、金尹 , 人民邮电出版社,,2008,9787115188694,427, 79.00元,,想读,8.8,403,https://book.douban.com/subject/3260311/
高效程序的奥秘, Hacker&#39;s Delight,沃瑞恩 , 冯速 , 机械工业出版社,, 2004-5,9787111141112,242, 28.00元,,想读,8.6,205,https://book.douban.com/subject/1159177/
